Session_ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
SESSION_001,3,45.2,2,12.5,15,234.8,0.02,0.05,25.5,0.0,Nov,2,2,1,2,Returning_Visitor,TRUE
SESSION_002,0,0.0,0,0.0,5,150.3,0.15,0.20,0.0,0.0,Dec,1,1,3,1,New_Visitor,FALSE
SESSION_003,2,30.5,1,8.2,20,456.7,0.01,0.03,45.2,0.0,Oct,3,3,2,3,Returning_Visitor,TRUE
SESSION_004,1,15.8,0,0.0,8,98.4,0.08,0.12,12.3,0.0,Sep,2,2,4,2,New_Visitor,FALSE
SESSION_005,4,60.3,3,25.1,25,678.9,0.005,0.02,78.5,0.0,Aug,1,1,1,4,Returning_Visitor,TRUE
SESSION_006,0,0.0,0,0.0,12,345.6,0.03,0.06,18.7,0.0,Jul,2,1,5,2,New_Visitor,FALSE
SESSION_007,1,22.4,0,0.0,18,512.3,0.01,0.04,32.1,0.0,Jun,1,2,3,3,Returning_Visitor,TRUE
SESSION_008,2,38.7,1,15.3,22,789.2,0.005,0.015,56.8,0.0,May,3,3,2,4,Returning_Visitor,FALSE
SESSION_009,0,0.0,0,0.0,3,67.8,0.18,0.25,0.0,0.0,Apr,1,1,6,1,New_Visitor,TRUE
SESSION_010,3,52.1,2,20.4,28,892.4,0.008,0.025,67.3,0.0,Mar,2,2,1,2,Returning_Visitor,FALSE
SESSION_011,1,18.9,0,0.0,6,123.5,0.12,0.18,8.9,0.0,Feb,1,1,4,1,New_Visitor,TRUE
SESSION_012,4,75.6,3,30.2,35,1024.7,0.002,0.01,89.2,0.0,Jan,3,3,2,4,Returning_Visitor,FALSE
SESSION_013,0,0.0,0,0.0,9,234.1,0.05,0.08,15.6,0.0,Dec,2,2,7,2,New_Visitor,TRUE
SESSION_014,2,42.3,1,18.7,24,567.8,0.015,0.035,42.5,0.0,Nov,1,1,3,3,Returning_Visitor,FALSE
SESSION_015,1,25.6,0,0.0,11,198.3,0.09,0.14,22.1,0.0,Oct,2,2,5,1,New_Visitor,TRUE
SESSION_016,3,58.4,2,22.8,30,756.9,0.006,0.018,58.7,0.0,Sep,3,3,1,4,Returning_Visitor,FALSE
SESSION_017,0,0.0,0,0.0,4,89.2,0.20,0.28,0.0,0.0,Aug,1,1,8,1,New_Visitor,TRUE
SESSION_018,2,35.2,1,12.6,19,445.3,0.02,0.05,35.8,0.0,Jul,2,2,2,3,Returning_Visitor,FALSE
SESSION_019,1,20.1,0,0.0,7,156.7,0.10,0.16,14.2,0.0,Jun,1,1,6,2,New_Visitor,TRUE
SESSION_020,4,68.9,3,28.5,32,934.1,0.004,0.012,72.4,0.0,May,3,3,3,4,Returning_Visitor,FALSE
SESSION_021,0,0.0,0,0.0,10,267.4,0.04,0.07,19.8,0.0,Apr,2,2,4,2,New_Visitor,TRUE
SESSION_022,3,49.7,2,19.1,26,823.6,0.007,0.022,61.5,0.0,Mar,1,1,1,3,Returning_Visitor,FALSE
SESSION_023,1,16.3,0,0.0,5,112.9,0.14,0.22,6.4,0.0,Feb,2,2,7,1,New_Visitor,TRUE
SESSION_024,2,41.8,1,17.4,21,523.2,0.018,0.042,38.9,0.0,Jan,3,3,2,4,Returning_Visitor,FALSE
SESSION_025,4,72.5,3,32.6,38,1087.3,0.003,0.009,95.6,0.0,Dec,1,1,1,2,Returning_Visitor,TRUE
